id,name,launched,deadline,goal,pledged,backers,outcome,country,currency,category,sub_category
4868,Check Patterns with Meaning,5/1/17 0:00,5/31/17 0:00,3856.04,4487.15,42,successful,GB,GBP,Design,Product Design
4869,"""In Search Of"" debut EP by Daphne Michelle",9/27/16 0:00,10/27/16 0:00,3000,280,8,failed,US,USD,Music,Faith
4870,"SARA GARBER ""RISE""",2/20/17 0:00,4/1/17 0:00,7456.57,357.17,16,canceled,CA,CAD,Music,R&B
4871,The Tastemade Tiny Kitchen Stove: First Edition,4/7/17 0:00,5/7/17 0:00,50000,5863,159,failed,US,USD,Food,Food
4872,Aydolon: Age of Heroes,10/23/17 0:00,11/18/17 0:00,6500,585,11,canceled,US,USD,Games,Tabletop Games
4873,"""MixMedia Arts Journal""",2/16/12 0:00,3/27/12 0:00,20000,5718,73,failed,US,USD,Publishing,Periodicals
4874,The Dream Rocket Project,9/3/13 0:00,10/3/13 0:00,12100,12476,218,successful,US,USD,Art,Art
4875,Through The Eyes  of A Daughter,12/15/11 0:00,1/14/12 0:00,3500,132,3,failed,US,USD,Publishing,Nonfiction
4876,EBook: Living in Thailand on $500 a Month,4/23/15 0:00,5/25/15 0:00,8000,20,1,failed,US,USD,Journalism,Journalism
4877,Wicked Wombats- a strategy card game full of action & fun,11/21/17 0:00,12/21/17 0:00,7500,841,21,failed,US,USD,Games,Playing Cards
4878,Isabel Azam Customizable Dress,8/11/15 0:00,9/11/15 0:00,5000,7260,83,successful,US,USD,Fashion,Apparel
4879,Flamenco Danza y Movimiento,3/22/15 0:00,4/25/15 0:00,10000,71,4,failed,US,USD,Photography,People
4880,I Want a Meat Mountain from Arby's ® (Suspended),7/28/15 0:00,8/27/15 0:00,12,0,0,suspended,US,USD,Food,Events
4881,DOERS Coffee | 100% Your Custom Roasted Coffee Delivered,3/14/16 0:00,4/14/16 0:00,10000,25425,502,successful,US,USD,Technology,Technology
4882,Hope Boxes,8/25/16 0:00,9/24/16 0:00,12000,0,0,failed,US,USD,Food,Farms
4883,"1,000 Story Starters to 1,000 Schools (Suspended)",8/20/10 0:00,8/27/10 0:00,1,0,0,suspended,US,USD,Publishing,Publishing
